encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3969
58390,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3703,3969
58389,58357,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3704,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58357,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58358,58096,60216,3703,3969
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3969
58389,58357,58096,60216,3704,3968
58389,58357,58096,60216,3703,3968
58389,58358,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3969
58389,58357,58096,60216,3703,3969
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3969
58389,58358,58096,60216,3703,3968
58389,58357,58096,60216,3703,3969
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58358,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58095,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60215,3703,3968
58389,58357,58096,60216,3703,3968
58395,58362,58098,60223,3708,3975
58525,58453,58172,60354,3799,4062
58896,58804,58519,60701,4153,4414
59361,59301,59025,61222,4654,4926
59671,59652,59365,61547,4993,5270
59776,59752,59466,61641,5092,5372
59783,59746,59469,61639,5085,5377
59873,59800,59521,61732,5145,5439
60194,60107,59820,62038,5448,5739
60754,60665,60386,62621,6016,6316
61482,61406,61134,63380,6752,7076
62125,62071,61798,64034,7417,7736
62619,62574,62290,64520,7916,8237
62751,62702,62426,64649,8044,8363
62756,62703,62433,64646,8040,8364
62752,62687,62427,64634,8031,8363
62752,62686,62427,64634,8031,8364
62752,62686,62427,64634,8031,8363
62752,62686,62427,64634,8030,8363
62776,62708,62450,64680,8050,8385
62940,62862,62605,64850,8212,8540
63392,63320,63059,65305,8663,9002
63953,63871,63618,325,9225,9559
64795,64709,64461,1186,10070,10414
8,65428,65213,1895,10822,11148
1007,764,649,2787,11794,12028
2047,1719,1638,3746,12790,12992
3172,2772,2739,4790,13898,14048
4288,3826,3835,5805,14988,15106
5358,4857,4898,6815,16048,16143
6437,5954,5982,7909,17127,17248
7288,6848,6850,8826,17996,18165
8131,7699,7699,9708,18842,19034
8950,8506,8517,10550,19649,19856
9751,9315,9320,11377,20438,20677
